correlation_measure,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_true_bias,min_abs_bias_true,best_cov_true,best_coverage_true,best_cov_obs,best_coverage_obs
Pearson,20,0,0,0,0,0,-0.00245721773328369,PPW,0.0011256128814059337,PPW,0.9262,PPW,0.9272
Pearson,20,0,0,0,4,0,-7.43056826832932e-4,MOPW,2.494864804241672e-4,PPW,0.9229,PPW,0.9226
Pearson,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,PPW,0.9171,PPW,0.9173
Pearson,20,0,0,4,4,0,0.03646026958428305,MOPW,0.011519980875102025,PPW,0.911,PPW,0.9117
Pearson,20,0,0.5,0,0,0.4,0.3831791367499273,no_weight,0.016820863250072704,CW,0.8823,CW,0.8734
Pearson,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.04236981340478857,CW,0.882,no_weight,0.8632
Pearson,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.04284824617296268,CW,0.8777,no_weight,0.8618
Pearson,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.01955604175300596,CW,0.8751,OPW,0.8796
Pearson,20,0.5,0,0,0,0.1,0.10855073650778706,MOPW,0.0013304922792976293,PPW,0.8862,PPW,0.8964
Pearson,20,0.5,0,0,4,0.1,0.08938054766039766,no_weight,0.010619452339602348,PPW,0.9115,PPW,0.9031
Pearson,20,0.5,0,4,0,0.1,0.09116823302454596,no_weight,0.008831766975454042,PPW,0.9082,PPW,0.9022
Pearson,20,0.5,0,4,4,0.1,0.10659491350720593,no_weight,0.006594913507205924,PPW,0.9089,PPW,0.9115
Pearson,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.006594583818316957,no_weight,0.8738,CW,0.8702
Pearson,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.08463123556555208,CW,0.8679,CW,0.863
Pearson,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.08185435749158154,CW,0.87,OPW,0.8614
Pearson,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.09102583703196265,CW,0.8613,OPW,0.8751
Phi,20,0,0,0,0,0,-0.002143151145344819,PPW,9.627372087928238e-4,PPW,0.9304,PPW,0.9298
Phi,20,0,0,0,4,0,4.87479305226962e-4,MOPW,7.762476463664922e-5,PPW,0.9294,PPW,0.9297
Phi,20,0,0,4,0,0,-6.697126063766628e-4,OPW,3.927809827164507e-4,PPW,0.9264,PPW,0.9263
Phi,20,0,0,4,4,0,0.0419497695755974,MOPW,0.01608244276987066,PPW,0.9181,no_weight,0.9183
Phi,20,0,0.5,0,0,0.4,0.25537268511810585,no_weight,0.14462731488189418,no_weight,0.7605,no_weight,0.9144
Phi,20,0,0.5,0,4,0.4,0.1874546451860911,CW,0.15952271544357824,CW,0.7054,no_weight,0.9183
Phi,20,0,0.5,4,0,0.4,0.18584857151176185,CW,0.16066836945053023,CW,0.6984,no_weight,0.9146
Phi,20,0,0.5,4,4,0.4,0.18607078613796055,CW,0.1468528170180703,CW,0.7336,no_weight,0.9163
Phi,20,0.5,0,0,0,0.1,0.0655722078030616,PPW,0.015846108425615554,PPW,0.9239,MOPW,0.9134
Phi,20,0.5,0,0,4,0.1,0.04807481120209842,PPW,0.029837811021317204,PPW,0.9213,no_weight,0.9152
Phi,20,0.5,0,4,0,0.1,0.04971493801351961,PPW,0.028245852155352497,PPW,0.9251,no_weight,0.9161
Phi,20,0.5,0,4,4,0.1,0.07613070214945887,no_weight,0.023869297850541135,PPW,0.9244,PPW,0.9208
Phi,20,0.5,0.5,0,0,0.5,0.32896502905034614,CW,0.17103027037376273,CW,0.6879,no_weight,0.916
Phi,20,0.5,0.5,0,4,0.5,0.24103886468225041,CW,0.23271701568811765,CW,0.4821,no_weight,0.9134
Phi,20,0.5,0.5,4,0,0.5,0.2431820216347617,CW,0.2308201283003935,CW,0.4856,OPW,0.9125
Phi,20,0.5,0.5,4,4,0.5,0.2338878824323658,CW,0.24833045557388533,CW,0.4295,OPW,0.9156
Spearman,20,0,0,0,0,0,-0.002375668975605485,OPW,9.193177449797758e-4,PPW,0.9316,PPW,0.9305
Spearman,20,0,0,0,4,0,-1.9513642820493112e-4,CW,2.6360312591843332e-5,PPW,0.9264,PPW,0.9267
Spearman,20,0,0,4,0,0,-2.2576498978818884e-5,no_weight,2.2576498978818884e-5,PPW,0.9217,PPW,0.9217
Spearman,20,0,0,4,4,0,0.040312115589658276,MOPW,0.012566700893277761,PPW,0.9129,PPW,0.9131
Spearman,20,0,0.5,0,0,0.4,0.3438918581517482,no_weight,0.0561081418482518,CW,0.9066,CW,0.8965
Spearman,20,0,0.5,0,4,0.4,0.26765341299895035,CW,0.0758384776845451,CW,0.8915,no_weight,0.8933
Spearman,20,0,0.5,4,0,0.4,0.2656299057933091,CW,0.07727270147972759,CW,0.8863,no_weight,0.8934
Spearman,20,0,0.5,4,4,0.4,0.2578814700888697,CW,0.05418499111878422,CW,0.8977,OPW,0.8887
Spearman,20,0.5,0,0,0,0.1,0.09585541604081727,no_weight,0.0041445839591827405,PPW,0.9144,PPW,0.9104
Spearman,20,0.5,0,0,4,0.1,0.07648456165768563,PPW,9.247219542791868e-4,PPW,0.9237,PPW,0.9083
Spearman,20,0.5,0,4,0,0.1,0.07838795371390307,PPW,6.183461178672495e-4,PPW,0.9231,PPW,0.9064
Spearman,20,0.5,0,4,4,0.1,0.09862308112210579,PPW,6.113745096840567e-4,PPW,0.9214,PPW,0.9206
Spearman,20,0.5,0.5,0,0,0.5,0.44500765709525697,CW,0.05499071869150629,CW,0.9059,no_weight,0.8905
Spearman,20,0.5,0.5,0,4,0.5,0.3499503407952157,CW,0.12992127226914113,CW,0.8403,no_weight,0.8896
Spearman,20,0.5,0.5,4,0,0.5,0.35289893031915176,CW,0.12736349534180935,CW,0.8409,no_weight,0.8867
Spearman,20,0.5,0.5,4,4,0.5,0.33655322250566944,CW,0.14083311187975311,CW,0.8319,no_weight,0.8902
